mans,rus,note
ла̄кква-па̄рыстаӈкве,растопырить,
ла̄кква-па̄хвтуӈкве,разбросать,
ла̄кква-патуӈкве,разлучиться,
ла̄кква-пинуӈкве,разложить,
ла̄кква-расгалтаӈкве,разбрызгать,
ла̄кква-сартуӈкве,растереть,
ла̄кква-со̄суӈкве,разлить,
ла̄кква-та̄ратаӈкве,распустить,
ла̄кква-тагталаӈкве,развешать,
ла̄кква-тыламлаӈкве,разлететься,
ла̄кква-уртуӈкве,разделить,
ла̄кква-ха̄йтуӈкве,разбежаться,
ла̄кква-хартуӈкве,растянуть,
ла̄кква-хилуӈкве,разрыть,
ла̄кква-ялуӈкве,ходить врозь,
ла̄кква-ӯнттуӈкве,рассадить,
ла̄кква-ӯнтуӈкве,рассесться,
ла̄пала̄луӈкве,обманывать,
ла̄панты,бабочка,
ла̄пка,магазин,
ла̄плуӈкве,обмануть,
ла̄плыл,обман,
ла̄сиглаӈкве,выслеживать,
ла̄сьлакв,постепенно,
ла̄сьлакв,потихоньку,
ла̄сьмарт,постепенно,
ла̄сьхатуӈкве,ожидать,притаившись
ла̄сял,медленный,
ла̄сял,тихий,
ла̄т,манера,
ла̄тыӈ,слово,
ла̄тыӈ,речь,
ла̄тыӈ,молва,
ла̄тыӈ,весть,
ла̄тыӈ миӈкве,обещать,
ла̄хыс,гриб,
ӯлам,одежда,
лав,ненависть,
лав нэ̄гылттаӈкве,презирать,
лайхатуӈкве,броситься,
лайхатыгла̄луӈкве,бросаться,
лаквасаптуӈкве,двинуть,
лаквасаӈкве,подвинуться,
лаквата̄луӈкве,двигать,
лаквтуӈкве,подвинуть,
лаквуӈкве,двигаться,
лап-а̄мараӈкве,залить,водой
лап-ва̄руӈкве,заделать,
лап-во̄тастаӈкве,занести снегом,
лап-лэ̄пуӈкве,закрыть,покрывалом
лап-ма̄гумтаӈкве,заткнуть,
лап-ма̄нигтаӈкве,закутать,
лап-нэ̄гуӈкве,завязать,
лап-нэ̄гуӈкве,обвязать,
лап-пантуӈкве,закрыть,
лап-пе̄руӈкве,замотать,
лап-пе̄руӈкве,обмотать,
лап-ра̄туӈкве,забить,
лап-ра̄туӈкве,заколотить,
лап-са̄йлуӈкве,заслонить,
лап-сартуӈкве,замазать,
лап-со̄суӈкве,залить,
лап-тагатаӈкве,завесить,
лап-тотуӈкве,занести,"снегом, облаками"
лап-тумантаӈкве,замкнуть,на замок
лап-тӯюӈкве,запорошить,снегом
лап-ханлаӈкве,заклеить,
лап-харыгтаӈкве,погасить,
лап-ю̄нтуӈкве,зашить,
лап-я̄ртуӈкве,загородить,
лап-я̄ртуӈкве,перегородить,
лап-яныгмаӈкве,зарасти,
лап-яныгмаӈкве,обрасти,
лапуӈкве,подняться,при взлёте
ларгалтаӈкве,вертеть,
ларгалтаӈкве,крутить,
ларгуӈкве,крутиться,
ларысь,хвощ,
ласкат,добрый,
ласкат,щедрый,
ле̄ккар,врач,
ле̄ӈкталахтуӈкве,натыкаться,
ле̄ӈктуӈкве,вбить,гвоздь
ле̄ӈктуӈкве,повторить,сказанное
ле̄ӈктхатуӈкве,наткнуться,
ле̄ӈктхатыгла̄луӈкве,натыкаться,
ле̄ӈктхатыгла̄луӈкве,наталкиваться,
лё̄мвой,комар,
лё̄мвой то̄р,накомарник,
лё̄хъяс,тропа,
лё̄ӈх,дорога,
лё̄ӈх,путь,
лё̄ӈх,след,
лӯима̄,север,
лӯима̄,северная страна,
ликмуӈкве,попасть,в ловушку
ликмыгла̄луӈкве,попадать,в ловушку
лӯймас,пешня,
лӯлы,гагарка,
ӯлмаяӈкве,сниться,
ӯлмаяӈкве,видеть сон,
ӯлмыӈ,сонный,
ло̄вась,скамья,
ло̄маралуӈкве,морщиться,
ло̄мт,часть,
ло̄мт,кусок,
ло̄тхатаӈкве,линять,терять окраску
ло̄х,заводь,
ло̄х,залив,
ло̄х,бухта,
ло̄х,внутренний угол,в доме
ло̄ӈхаль,на север,
ло̄ӈхаль,вниз по реке,
ло̄ӈханьсяп,колокольчик,
ло̄ӈханьсяп,звонок,предмет
лов,десять,
ловиньтан ва̄рмаль,чтение,
ловиньтан ва̄рмаль,счет,действие
ловиньтахтуӈкве,отчитаться,
ловиньтахтуӈкве,рассчитаться,
ловиньтахтыгла̄луӈкве,отчитываться,
ловиньтахтыгла̄луӈкве,рассчитываться,
ловиньтаӈкве,читать,
ловиньтаӈкве,считать,
ловит,десятый,
ловман,десяток,
ловтуӈкве,мыть,
ловтуӈкве,умывать,
ловтхатуӈкве,мыться,
ловтхатуӈкве,умыться,
ловтхатыгла̄луӈкве,мыться,
ловтхатыгла̄луӈкве,умываться,
лолгуӈкве,галдеть,
лолта,заплата,
ломари,морщина,
ломариӈ,морщинистый,
ломарта̄луӈкве,морщить,
ломартахтыглаӈкве,морщиться,
ломгалтахтуӈкве,забрюзжать,
ломгалтахтуӈкве,забормотать,
ломгуӈкве,ворчать,
лоньсиӈ,тёплый,о воде
лоньхатаӈкве,упасть,
лоньхатаӈкве,свалиться,
лосит,просторный,
лосит,обширный,
лось,перепел,
лосьгуӈкве,зудеться,
лосьгуӈкве,чесаться,
лотгуӈкве,трещать,
лотых,уголь,
лӯпи,коряга,
лӯпта,лист,
лӯптаӈ,лиственный,
лӯргуӈкве,звенеть,
лӯс,болотистый луг,
ӯлтыхум,свидетель,
ӯлум,сон,
лув,кость,
лув,лошадь,
лувкол,конюшня,
лувыӈ,костяной,
лувыӈ,костлявый,
луйгалтахтуӈкве,запеть,
луйгалтахтуӈкве,защебетать,о птице
луйгил,щебет,
луйгил,пение,о птице
луйгуӈкве,щебетать,
луйгуӈкве,петь,о птице
лум,жар,
лумыӈ,жаркий,
лунт,гусь,птица
лунт пы̄грись,гусёнок,
лусытаӈкве,служить,
лусь,слюна,
лыӈкве,кинуть,
лыӈкве,бросить,
лыӈкве,метнуть,
ӯлы,воспевание,
ӯлы,восхваление,
ӯлылаӈкве,восхвалять,
ӯлылаӈкве,воспевать,
ӯлысь,челюсть,
лыви,тина,
лылаяӈкве,вдохнуть,
лылтасаӈкве,вздохнуть,
лылтуӈкве,дышать,
лылы,дыхание,
лылы,жизнь,
лылы пӯвласаӈкве,дохнуть,
лылы та̄рата̄лыглаӈкве,выдыхать,
лылы та̄рматуӈкве,выдохнуть,
лылы хартуӈкве,вдыхать,
лылы хасумтаӈкве,вдохнуть,
лылыта̄л,неживой,
лылыэп,воздух,
лылыӈ,живой,
лылыӈ,свежий,о рыбе
лыпась паттуӈкве,освободить,
лыпась патуӈкве,освободиться,
лыпиӈ,лохматый,
лысинта̄лыглаӈкве,кидать,
лысинта̄лыглаӈкве,метать,
лысинта̄лыглаӈкве,бросать,
ӯльна,воля,
ӯльна,свобода,
ӯльпа,кедр,
ӯльпаси,кедровник,
лэ̄ватаӈкве,вынуть,
лэ̄гпуӈкве,линять,
лэ̄пта,покрывало,
лэ̄пта,одеяло,
лэ̄пуӈкве,покрыть,
лэ̄пхатуӈкве,покрыться,
лэ̄пхатыгла̄луӈкве,покрываться,
лэ̄пыгла̄луӈкве,покрывать,
лэ̄пык,песец,
лэ̄с,силок,
лэ̄с,ловушка,петля
лэ̄стан,брусок,
лэ̄стантаӈкве,точить,
лэ̄сьмалта̄лыглаӈкве,разводить огонь,
лэ̄сьмалтаӈкве,развести огонь,
лэ̄ӈкв,детское меховое одеяльце,
лэ̄ӈын,белка,
лю̄камтаӈкве,упрекать,
лю̄лит,высота,
лю̄лит,рост,
лю̄лиӈ,высокий,
лю̄ль,плохой,
лю̄льсыӈ,плохо,
лю̄люӈкве,стоять,
лю̄ляхо̄луӈкве,стоять,
лю̄ньсюӈкве,плакать,
лю̄ньсялтахтуӈкве,заплакать,
лю̄сьсуй,плач,
ля̄втуӈкве,ругаться,
ля̄выльттаӈкве,ругать,
ля̄галаӈкве,молвить,
ля̄гантаӈкве,говорить,медленно
ля̄м,черёмуха,ягода
ля̄мйив,черёмуха,куст
ля̄сямлаӈкве,утихнуть,
ля̄сямлаӈкве,замедлить,
ля̄сямтаӈкве,медлить,
ля̄ххал,весть,
ля̄ххал,сообщение,
лякан,задвижка,дверная
лякитаӈкве,щекотать,
ляпа,близкий,
ляпама̄лыглаӈкве,приближаться,
ляпамаӈкве,приблизиться,
ляпамта̄лыглаӈкве,приближать,
ляпамтаӈкве,приблизить,
лясатаптуӈкве,щёлкнуть,
лясатаптуӈкве,прищёлкнуть,
лясгуӈкве,щёлкать,
лятата̄нтуӈкве,потрескивать,
лятатаптуӈкве,хрустнуть,
лятатаптуӈкве,треснуть чем-либо,
лятатаӈкве,треснуть,
лятгилыӈ,трескучий,
лятгуӈкве,трещать,
мӯӈи,яйцо,
ма̄,земля,
ма̄,место,
ма̄,страна,
ма̄г,мёд,
ма̄гва̄руп,пчела,
ма̄гумтахтуӈкве,сунуться,
ма̄гумтаӈкве,сунуть,
ма̄гуӈкве,совать,
ма̄гыл,грудь,
ма̄гырта̄лыглаӈкве,заставлять,
ма̄гыртаӈкве,заставить,
ма̄гыртаӈкве,принудить,
ма̄гыӈ,медовый,
ма̄йт,печень,
ма̄к,правда,
ма̄кол,землянка,
ма̄кы̄г,обязательно,
ма̄кыӈысь,правдиво,
ма̄ласьлаӈкве,щупать,
ма̄ласьлаӈкве,шарить,
ма̄лая̄луӈкве,пощупать,
ма̄лая̄луӈкве,потрогать,
ма̄лтып,тёплый,
ма̄лтыпмаӈкве,потеплеть,
ма̄н,мы,
ма̄н,нам,
ма̄нигтахтуӈкве,завернуться,
ма̄нигтахтуӈкве,закутаться,
ма̄нигтаӈкве,завернуть,
ма̄нигтаӈкве,закутать,
ма̄нт,лопата,
ма̄ныр,мест.что,
ма̄нырсыр,какой,
ма̄нырсыр,какого рода,
ма̄нь олнкер,мелочь,о деньгах
ма̄ньлат,молодой,
ма̄ньлат,юный,
ма̄ньлат ма̄хум,молодёжь,
ма̄ньлат пора,молодость,
ма̄ньлат пора,юность,
ма̄ньмил,свёрток,
ма̄ньмис,телёнок,
ма̄ньпора,детство,
ма̄ньсак,бисер,
ма̄ньсалаӈкве,мять,
ма̄ньси,манси,
ма̄ньсункве,санки,
ма̄ньсуп,штаны,
ма̄ньхул,малёк,
ма̄нюй,мошкара,
ма̄нюмтаӈкве,обернуть,завернуть во что-нибудь
ма̄нют,малютка,
ма̄порсуй,мышь,
ма̄сьтыр,искусный,
ма̄сьтырлаӈкве,мастерить,
ма̄тапрись,мышь,
ма̄тар,червь,дождевой
ма̄тьня,мотня,в неводе
ма̄хар,мамонт,
ма̄хум,народ,
ма̄хум,люди,
ма̄ӈквла,сова,
ма̄ӈхв,обух,
маимут,задание,
майла̄луӈкве,отдавать,
майла̄луӈкве,сдавать,
майла̄лыглаӈкве,давать,неоднократно
майхатуӈкве,сдаться,
майхатыгла̄луӈкве,сдаваться,
манах,сколько,
мангасьлаӈкве,трепать,
манкем,сколько,
манрыг,нареч.почему,
манрыг,зачем,
манса̄вит,нареч.сколько,
мансын,глухарь,
манумтахтуӈкве,рвануться,
манумтаӈкве,рвануть,
манурыл,нареч.как,
манурыл,каким образом,
манхурип,мест.какой,
маныгтаӈкве,рвать,
маныгтаӈкве,дёргать,
мань,сноха,
маньнэ,невеста,
марави,сплошной,
марави,глухой,без отверстия
марлуӈкве,сжать,
марлуӈкве,стеснить,
марсюм,тоскливый,
марсюм,скучный,
марсюм,скучно,
марсюм,грустно,
марсюмаӈкве,скучать,
марсюмаӈкве,тосковать,
марсюмлаӈкве,загрустить,
марсюмы̄г,скучно,
марсюмы̄г,грустно,
марум,тесный,
маруӈкве,стесниться,
маруӈкве,сжаться,
марылтахтуӈкве,тесниться,
марылтаӈкве,теснить,
маснут,одежда,
мастуӈкве,одеть,
мастуӈкве,обуть,
масуӈкве,одевать,на себя
масуӈкве,обувать,себя
масхатуӈкве,одеться,
масхатуӈкве,обуться,
масыгла̄луӈкве,одевать,
масыгла̄луӈкве,обувать,
маськ,хвост оленя,
матахкем,мест.несколько,
матахмат,мест.несколько,
матум,старый,о живом существе
матум о̄йка,старик,
матум пора,старость,
матум э̄ква,старуха,
матумпа̄ла,пожилой,
матуӈкве,состариться,
матхурип,мест.какой-то,
матъёмас,замечательно,
матъёмас,очень кстати,
матыр,мест.что-то,
матыр,что-либо,
матыр,что-нибудь,
матырмат,мест.какой-то,
матырмат,какой-нибудь,
матырсыр,мест.какой-то,
маянтаӈкве,давать,
маянтаӈкве,сдавать,
маянтаӈкве,отдавать,
мӯвлахи,нареч.кругом,
мӯвлахи,вокруг,
мӯвылта̄лыглаӈкве,окружать,
мӯвылтаӈкве,окружить,
мӯвыр,дубина,
мӯвыр,колот,для сбивания кедровых шишек
ме̄ритаӈкве,мерять,
ме̄сгыӈ,извилистый,
ме̄сыг,извилина,
ме̄сыг,излучина,реки
ме̄т,плата,
ме̄тала̄лыглаӈкве,нанимать,
ме̄талахтуӈкве,наняться,
ме̄талахтыглаӈкве,наниматься,
ме̄талаӈкве,нанять,
ме̄ӈкв,великан,
миӈкве,дать,
мил,глубокий,
милысь,глубоко,
милыт,глубина,
минмыгтаӈкве,пойти,
минмыгтаӈкве,поехать,
минмыгтаӈкве,полететь,
минуӈкве,идти,
минуӈкве,ехать,
минуӈкве,лететь,
миныгла̄луӈкве,расходиться,
миныгла̄луӈкве,разъезжаться,
миныгла̄луӈкве,разлетаться,
мир,народ,
мир,общество,
миргалтахтуӈкве,загреметь,
миргуӈкве,греметь,
миркол,сельсовет,
миркол,администрация,
мис,корова,
мис пы̄грись,телёнок,
мисвой,масло,коровье
мислы,смешанный кедровый лес,
мӯйлалтаӈкве,угощать,
мӯйлупса,подарок,
мӯйлупса,награда,
мӯйлуптаӈкве,подарить,
мӯйлуптаӈкве,наградить,
мӯйлуӈкве,гостить,
мӯйнэ,гостья,
мӯйхум,гость,
мӯлгуӈкве,клубиться,"о дыме, о паре"
мо̄йт,сказка,
мо̄йтак,мыло,
мо̄йтакыӈ,мыльный,
мо̄йтуӈкве,рассказывать сказки,
мо̄л,прошлый,
мо̄лал,тогда,
мо̄лал,недавно,
мо̄лты,прошлый,
мо̄лхо̄тал,вчера,
мо̄рмыӈ,сборчатый,
мо̄рсыӈ,редкий,
мо̄ртмил,измерение,
мо̄ртуӈкве,измерить,
мо̄ртыглаӈкве,измерять,
мо̄ртым ма̄,юг,
мо̄ртым ма̄,южная страна,
мо̄ртыс,нареч.в пору,
мо̄ртыс,в самый раз,
мо̄рум,складка,
мо̄т,другой,
мо̄т,чужой,
мо̄тан,другой,
мо̄тхо̄тал,послезавтра,
мо̄тхо̄тпа,чужой,
мо̄тынтыг,на следующий год,
мольсяӈ,малица,
молямлаӈкве,торопиться,
молямлаӈкве,спешить,
молямтахтуӈкве,торопиться,
молямтахтуӈкве,спешить,
молямтаӈкве,торопить,
молях,быстрый,
молях,скорый,
молях,нареч. быстро,
молях,скоро,
моляхыл,нареч.скоро,
морах,морошка,
моргуӈкве,хрустеть,
мори,зря,
мори,попусту,
мос,болезнь,
мос,хворь,
мосмуӈкве,заболеть,
мосыӈ,больной,
мось,нареч.немного,
мосься,нареч.мало,
мосьсял,нареч.понемногу,
мосьсямаӈкве,уменьшиться,
мосьсямта̄лыглаӈкве,уменьшать,
мосьсямтаӈкве,уменьшить,
мотыт,второй,
мотыт,следующий,
мохлыл,узел,
мохсыӈ,муксун,рыба
ӯмпи,ковш,
мӯра,рог молодого оленя,
мӯрмуӈкве,нырнуть,
мӯрсуӈкве,нырять,
мӯстуӈкве,нравиться,
мӯсхал,аккуратный,
мӯсхал,тщательный,
мӯсхалы̄г,аккуратно,
мӯсхалы̄г,тщательно,
ӯмуӈкве,черпать,
мувала̄нтуӈкве,посмеиваться,
мувалаӈкве,засмеяться,
мувиньт,смех,
мувиньтаптуӈкве,рассмешить,
мувиньтаптуӈкве,насмешить,
мувиньтаӈкве,смеяться,
мули,косяк,
мули,стая,рыб
мулум,шаловливый,
мулумлан а̄гирись,шалунья,
мулумлан пы̄грись,шалун,
мулумлаӈкве,шалить,
мулумлаӈкве,баловаться,
мулы,передний,о внутренней части помещения
мутра,мудрость,
мутраӈхум,мудрец,
мутраӈхум,волшебник,
ӯн,столб рыболовного запора,
на̄й,огонь,
на̄йвой,нефть,
на̄йив,дрова,
на̄йн тыттуӈкве,сжечь,
на̄йне̄лум,пламя,
на̄йтэм,гарь,выжженный лес
на̄йӈтуйт,поезд,
на̄йӈха̄п,пароход,
на̄йӈха̄п,теплоход,
на̄лваль,нареч.на реку,
на̄лваль,к реке,с берега
на̄лкуӈкве,очистить ствол от ветвей,
на̄лми,прибрежный,
на̄лув-ва̄глуӈкве,спуститься,с берега
на̄лув-нарыгтахтуӈкве,оттолкнуться,от берега
на̄лув-тагатаӈкве,повесить,котёл над костром
на̄лув-тотуӈкве,отнести на берег,к водоёму
на̄лув-туясаӈкве,толкнуть по направлению к водоёму,
на̄пар,сверло,
на̄талта̄луӈкве,плыть,по течению
на̄туӈкве,нести течением,
на̄туӈкве,плыть по течению,
на̄хваса̄лыглаӈкве,клевать,
на̄хвасаӈкве,клюнуть,
на̄хвуӈкве,клевать,
на̄хвуӈкве,долбить,клювом
на̄ӈк,лиственница,
на̄ӈкта̄л,невидимый,
на̄ӈкуӈкве,виднеться,
наӈкасьлаӈкве,виднеться,
нагуӈкве,тронуть,
нагуӈкве,потревожить,
нагхатуӈкве,трогать,
нагхатуӈкве,касаться,
нагыглаӈкве,потрогать,
нагыглаӈкве,потревожить,
нак,сустав,
нак,случай,
нал,черенок,
нал,рукоятка,
налыман,сорок,
налыманыт,сороковой,
нам,имя,
нам,название,
намаяӈкве,назвать,
намаяӈкве,наименовать,
намта̄л,безымянный,
намталаӈкве,дразнить,
намталаӈкве,давать прозвище,
намтуӈкве,назвать,
намтуӈкве,наименовать,
намыл,нареч.нарочно,
намыл,умышленно,
намыл пинуӈкве,наименовать,
намыл пинуӈкве,дать имя,
нарумтахтуӈкве,оттолкнуться,
нарумтаӈкве,толкнуть,
нарыгта̄лыглаӈкве,толкать,
нарыӈ-карыӈ,дерзкий,
нас,простой,
насати,оказывается,
насати,на самом деле,
наскассы̄г,напрасно,
наскассы̄г,попусту,
не̄выр,жеребёнок,
не̄лмасьлаӈкве,говорить неправду,
не̄лум,язык,орган речи
не̄р,пена,
не̄рыӈ,пенистый,
нё̄влиӈ-тэ̄пыӈ,полный,
нё̄выль,мясо,
нё̄рыглаӈкве,литься,
нё̄рыглаӈкве,тянуться,о стае птиц
нё̄рых,молодая поросль,
нё̄рых,побег,растений
нё̄тмил,помощь,
нё̄тнэ,красивый,
нё̄тта̄л,некрасивый,
нё̄тумтаӈкве,прибавить,
нё̄тумтаӈкве,добавить,
нё̄туӈкве,помочь,
нё̄туӈкве,прибавить,
нё̄тхатуӈкве,помогать,
нё̄тыгла̄луӈкве,помогать,
нё̄тыгла̄луӈкве,поддерживать,
нё̄тылтахтуӈкве,красоваться,
нёвитахтуӈкве,качаться,
нёвитаӈкве,качать,
нёвлитаӈкве,пополнеть,
нёвсалтахтуӈкве,зашевелиться,
нёвсалтаӈкве,пошевелить,
нёвсатта̄л,неподвижный,
нёвсуӈкве,шевелиться,
нёвумтаптуӈкве,двинуть,
нёвумтаптуӈкве,шевельнуть,
нёвумтаптыгла̄луӈкве,двигать,
нёвумтаптыгла̄луӈкве,шевелить,
нёвумтаӈкве,двинуться,
нёвумтаӈкве,тронуться в путь,
нёвумтаӈкве,шевельнуться,
нёл,нос,
нёлантахтуӈкве,облизываться,
нёлантаӈкве,лизать,
нёлат,нюх,
нёлат,обоняние,
нёлква̄лыг,вожжи,
нёлолов,восемь,
нёлоловит,восьмой,
нёлоловса̄т,восемьсот,
нёлоловса̄тыт,восьмисотый,
нёлоловхуйплов,восемнадцать,
нёлоловхуйпловит,восемнадцатый,
нёлса̄т,восемьдесят,
нёлсамас,ноздря,
нёлсатыт,восьмидесятый,
нёлсори,переносица,
нёлувъяӈкве,лизнуть,
нёмса,скромный,
нёмса,покорный,
нёплув,не плюй,
нёрамы̄г,плавно,
нёрмыгтаӈкве,поползти,
нёрсуӈкве,ползать,
нёруӈкве,ползти,
нёсарта̄луӈкве,морщить,
нёхыс,соболь,
нила,четыре,
ниласа̄т,четыреста,
нилахуйплов,четырнадцать,
нилахуйпловит,четырнадцатый,
нилыт,четвёртый,
нильсуп,скребок для чистки рыбы,
нильталахтуӈкве,царапаться,обо что-либо твёрдое
нильталаӈкве,царапать,
нильтаӈ,яр,
нилюӈкве,чистить,рыбу
нимсаре̄ква,паук,
нир,прут,
нирсяхыл,куст,
нирталахтуӈкве,заниматься грабежом,
нирталаӈкве,грабить,
нисыг,молока,
нисьта,необученный,об олене
ӯнлахо̄луӈкве,посиживать,
ӯнлуӈкве,сидеть,
ӯнлуӈкве,стоять,"о предметах объёмистых, широких, массивных"
ӯнлыглаӈкве,сидеть,неоднократно
но̄х-а̄лмаяӈкве,приподнять,
но̄х-а̄лмаяӈкве,поднять,
но̄х-атуӈкве,собрать,с земли
но̄х-ва̄ӈкуӈкве,выкарабкаться,
но̄х-во̄ртумтахтуӈкве,подняться,
но̄х-во̄ртумтахтуӈкве,вскочить,
но̄х-ква̄луӈкве,встать,
но̄х-ква̄луӈкве,подняться,
но̄х-лапуӈкве,взойти,о солнце
но̄х-лапуӈкве,взлететь,
но̄х-лю̄люӈкве,встать,на ноги
но̄х-масуӈкве,надеть,"одежду, обувь"
но̄х-нэ̄глуӈкве,взойти,о солнце
но̄х-патуӈкве,победить,
но̄х-пе̄лаяӈкве,воспламениться,
но̄х-порыгма̄луӈкве,подпрыгнуть,
но̄х-рохтуптаӈкве,потревожить,во время сна
но̄х-са̄йкатаӈкве,разбудить,
но̄х-се̄лтумтаӈкве,вскинуть,
но̄х-се̄лтумтаӈкве,подбросить,
но̄х-тагматуӈкве,повесить,
но̄х-тыламлаӈкве,вспорхнуть,
но̄х-тыламлаӈкве,взлететь,
но̄х-ха̄ӈхуӈкве,взобраться,
но̄х-хартуӈкве,вытянуть,
но̄х-хартуӈкве,подтянуть,
но̄х-хилуӈкве,выкопать,
но̄х-хораяӈкве,вспыхнуть,
но̄х-хулиглаӈкве,всплыть,на поверхность воды
но̄х-яныгмаӈкве,вырасти,
но̄х-ӯрмыгтаӈкве,поддержать,не дать упасть
но̄хасьлаӈкве,прихрамывать,
но̄хуӈкве,хромать,
но̄ӈхаль,вверх,
новтуп,скребок,для выделки кожи
новтуӈкве,скрести,
новтуӈкве,скоблить,скребком
нолвит,наледь,
номсахтуӈкве,раздумывать,
номсуӈкве,думать,
номсуӈкве,мыслить,
номсыглаӈкве,размышлять,
номт,ум,
номт,мысль,
номт,память,
номтта̄л,безумный,
номтта̄л,бестолковый,
номтыл,наизусть,
номтыӈ,умный,
номуӈкве,помнить,
номылмаптуӈкве,напомнить,
номылматуӈкве,вспомнить,
номылматуӈкве,придумать,
номылматыгла̄луӈкве,вспоминать,
номылматыгла̄луӈкве,придумывать,
нор,бревно,
норма,полка,
нортгала̄луӈкве,расстилать,
нортуӈкве,стлать,
нортхатуӈкве,стлаться,
нот,век,
нотыӈ,вечный,
ӯнс,нельма,рыба
ӯнтмит,просека,
ӯнттуӈкве,сажать,
ӯнттуӈкве,ставить,
ӯнттуӈкве,строить,
ӯнттуӈкве,сеять,
ӯнтуӈкве,сесть,
ӯнтуӈкве,свернуться,о молоке
ӯнтыгла̄луӈкве,садиться,
ӯнтыгпа̄лыглаӈкве,присаживаться,
ӯнтыгпаӈкве,присесть,
нуй,сукно,
нуй сахи,шуба,из сукна
нуйгалаӈкве,ободрать,
нуйхатуӈкве,помчаться,
нул,стремнина,во время половодья
нулыӈ,волнистый,
нулыӈ,бурлящий,
нуми,верхний,
нумыл,сверху,
нумыл,верхом,
нумын,вверху,
нур,месть,
нуралаӈкве,обвинять,
нуса,нужда,
нуса,нищета,
нуса,бедность,
нуса,бедный,
нуса,нищий,
нусаг,бедно,
нусаг патуӈкве,обеднеть,
нусамаӈкве,нуждаться,
нусамаӈкве,бедствовать,
нуюӈкве,драть,
нуюӈкве,сдирать,"берёсту, шкуру"
ӣныг,шиповник,ягода
ӣныгйӣв,шиповник,куст
ный,тётя,младшая сестра матери
ӯньсяс,сало,с задней части туловища животных
нэ̄,женщина,
нэ̄ тотуӈкве,жениться,
нэ̄ви са̄лы,важенка,олень
нэ̄гла̄лаӈкве,показываться,
нэ̄гла̄лаӈкве,появляться,
нэ̄глала̄луӈкве,показываться,
нэ̄глала̄луӈкве,появляться,неоднократно
нэ̄глапаӈкве,появиться,
нэ̄глапаӈкве,показаться,быстро
нэ̄глуӈкве,показаться,
нэ̄глуӈкве,появиться,
нэ̄глыглаӈкве,появляться,
нэ̄глыглаӈкве,показываться,иногда
нэ̄гуӈкве,привязать,
нэ̄гуӈкве,завязать,
нэ̄гылттахтуӈкве,выглянуть,
нэ̄гылттахтуӈкве,высунуться,
нэ̄мат,никакой,
нэ̄матыр,мест.ничего,
нэ̄матыр,ничто,
нэ̄матырсыр,мест.никакой,
нэ̄мхо̄т,нигде,
нэ̄мхо̄т,негде,
нэ̄мхо̄тпа,никто,
нэ̄мхотмус,никак,
нэ̄мхотталь,никуда,
нэ̄мхотъют,никто,
нэ̄мхуньт,никогда,
нэ̄мхурип,никакой,
нэ̄пак,бумага,
нэ̄пакта̄л,неграмотный,
нэ̄пакта̄л,безграмотность,
нэ̄пакыл хаснэ,грамотный,
нэ̄пакыл хаснэ,образованный,
нэ̄пакыӈ,грамотный,
нэ̄рнэ йӣв,скрипка,
нэ̄рп,краска,
нэ̄руӈкве,играть на скрипке,
нэ̄та̄л,неженатый,
нэ̄тмил,узел,
нэ̄тмил,связка,
нэ̄ӈ,женатый,
ню̄нсалта̄луӈкве,вытягивать,
ню̄нсалтахтыглаӈкве,потягиваться,
ню̄нслаптуӈкве,вытянуть,
ню̄нслаптуӈкве,растянуть,
ню̄нсуӈкве,вытянуться,
ню̄ныслаӈкве,вытянуть,
ню̄ныслаӈкве,растянуть,
ню̄рум ӯй,медведь,
ню̄сум,дальний родственник,
ню̄сум о̄йка,сват,
ню̄сум о̄йка,свояк,
ню̄сум э̄ква,сватья,
ню̄сум э̄ква,свояченица,
нюлми,рана,
нюлмиӈ,раненый,
нюлт,клятва,
нюлтуӈкве,клясться,
нюлы,пихта,
нюлыкис,радуга,
нюсы,лишайник,на хвойных деревьях
ня̄вгуӈкве,мяукать,
ня̄влак,мягкий,о пухе
ня̄влалахтуӈкве,гоняться,
ня̄влалаӈкве,гонять,
ня̄влумтахтуӈкве,погнаться,
ня̄врам,ребёнок,
ня̄врам ӯрнэ нэ̄,няня,
ня̄врам ӯруӈкве,нянчить,
ня̄врамта̄л,бездетный,
ня̄вылхатуӈкве,гнаться,
ня̄йтхум,ворожей,
ня̄йтхум,экстрасенс,
ня̄ксюӈкве,шлёпать,
ня̄ксятаӈкве,шлёпнуться,
ня̄куӈкве,мять,траву
ня̄л,стрела,
ня̄лтуп,крохаль,утка
ня̄лы,ложка,
ня̄лыӈ,жадный,
ня̄лыӈ,алчный,
ня̄ль,слопец,
ня̄льсиӈ,скользкий,
ня̄льсь,слизь,
ня̄льсятаӈкве,поскользнуться,
ня̄нь,хлеб,
ня̄п,телёнок лося,
ня̄р,болото,
ня̄ра,чирки,кисы из оленьих камусов
ня̄рав,белый,масть оленя
ня̄рка̄т,крот,
ня̄рпил,незрелая ягода,
ня̄рппум,зелень,
ня̄рппумоспа,зелёный,
ня̄руй,червь,
ня̄руй,гусеница,
ня̄рум,анат.лопатка,
ня̄хсуй,визг,
ня̄хсуй,писк,
ня̄хсям,жабры,
ня̄ӈхасаӈкве,взвизгнуть,
ня̄ӈхасьлаӈкве,повизгивать,
ня̄ӈхуӈкве,визжать,
ня̄ӈхуӈкве,мяукать,
