mans,rus,note
а̄ны,чашка,
а̄ны,блюдо,
а̄ньт,рог,
а̄ньтыӈ,рогатый,
анеква,бабушка,по материнской линии
аниглахтуӈкве,целоваться,
аниглаӈкве,целовать,
ань,сейчас,
ань,теперь,
анькас,горох,
аньмунт,недавно,
аньмус,поныне,
аньмус,до настоящего времени,
аньсяр,клык,
аньты,только что,
аньтыгмус,доныне,
аньтыгмус,до сего времени,
аня,куча,
аня,толпа,
аня,стадо,
аня,стая,
аняктаӈкве,свалить в кучу,
аняктаӈкве,сгрудить,
анятаӈкве,собраться,
анятаӈкве,сгрудиться,
а̄па,люлька,
а̄па,колыбель,
а̄прыӈ,быстрый,
а̄прыӈ,ловкий,
а̄пси,брат,младший
а̄пыр,ловкость,
а̄пырлаӈкве,изловчиться,
апыг,внук,
апыг,внучка,
апыг,племянник,
апыг,племянница,
а̄рась,очаг,
а̄рнта,долг,
а̄рпи,рыболовный запор,
а̄рппал,запор у берега,
а̄рсын,аршин,
а̄рталахтуӈкве,пытаться,
а̄рталахтуӈкве,попытаться,
а̄рталахтын ва̄рмаль,попытка,
а̄рталаӈкве,измерить,
а̄рталаӈкве,проверить,
а̄ртмалаӈкве,удаваться,
а̄ртмалаӈкве,получаться,
а̄ртмил,удача,
а̄ртмилыӈ,удачный,
а̄ртмуӈкве,удаться,
а̄ртмуӈкве,получиться,
а̄ртмыгла̄луӈкве,получаться,
а̄ртмыгла̄луӈкве,удаваться,
арген,нареч.слишком,
арген,зря,
аргин,медь,
армалтаӈкве,отобрать,
арыг,лишний,
арыгкем,слишком,
арыгтаптуӈкве,отстранить,
арыгтаптуӈкве,исключить,
арыгтаптыгла̄луӈкве,отстранять,
арыгтаптыгла̄луӈкве,исключать,
арыгтаӈкве,остаться в излишке,
арыгтаӈкве,стать лишним,
а̄смас,полынья,
а̄сталтаӈкве,закончить,
а̄сталтаӈкве,приготовить,
а̄стапаӈкве,кончиться,
а̄стла̄лыглаӈкве,завершать,
а̄стла̄лыглаӈкве,заканчивать,
а̄стлахтуӈкве,готовиться,
а̄стлахтуӈкве,приготовиться,
а̄стлахтыгла̄луӈкве,приготовляться,
а̄ступта̄луӈкве,заканчивать,много раз
а̄ступтаӈкве,закончить,
а̄стуӈкве,кончить,
а̄стуӈкве,перестать,
а̄сь,отец,
а̄ся̄ги,старшая сестра мужа,
а̄ся̄ги,тётя,
ас,дыра,
ас,отверстие,
асёйка,дед,по материнской линии
асирма,холод,
асирма,мороз,
асирма,холодно,
асирман тыттуӈкве,обморозить,
асирман тыттыгла̄луӈкве,обмораживать,
асирмаӈ,холодный,
асирмаӈ,студёный,
астал,нареч.молча,
асталакве̄г,втихомолку,
асталнув,потише,
асыӈ,дырявый,
а̄твос,свинец,
а̄ти,нета̄ти,
а̄ти,ат минэ̄гум нет,
а̄ти,не пойду,
а̄тим,нет,
а̄тим,отсутствует,
а̄тя,отец,
ат,Ⅰчаст.неат минэ̄гум не пойдуⅡпятьⅢзапах,
ат ва̄нэ,неизвестный,
ат та̄ратаӈкве,запретить,
ат таӈхим,неохотно,
ат то̄вылхатнэ,недостающий,
ат хо̄йхатнэ,негодный,
ат ёлымтан,непобедимый,
атая̄луӈкве,понюхать,
атаяӈкве,чуять,
атиӈк,иначе,
атпан,пятьдесят,
атса̄т,пятьсот,
атта̄л,невкусный,
атувъя̄луӈкве,понюхать,
атуӈкве,собрать,
атуӈкве,собирать,
атхатуӈкве,собраться,
атхатыгла̄луӈкве,собираться,
атхуйплов,пятнадцать,
атхунь,конечно,
атхунь,понятно,
атыл,сбор,
атыл,собирание,
атыньтахтуӈкве,нюхать,
атыньтахтуӈкве,обнюхиваться,
атыньтаӈкве,нюхать,
атыр,ясныйатыр то̄рум ясное небо,
атырмаӈкве,проясниться,о небе
атырхари,голубой,
атырхари,синий,
атырхарпа,голубоватый,
атырхарпа,синеватый,
атыӈ,вкусный,
атыӈ,сладкий,
атыӈ,душистый,
атыӈ,ароматный,
атыӈ ня̄нь,пряник,
атыӈут,сладость,
а̄хвсалахтуӈкве,раздеться,
а̄хвсалаӈкве,раздевать,
а̄хвтас,камень,
а̄хвтас пӯт,котёл,
а̄хвтасыӈ,каменистый,
а̄хт,протока,
а̄хт а̄рпи,рыболовный запор,заграждение в протоке
аюӈкве,пить,
аялаӈкве,выпить,
ва̄г,мощь,
ва̄г,сила,
ва̄глап,лямка,
ва̄глап,ошейник,
ва̄глуӈкве,спуститься,
ва̄глуӈкве,сойти вниз,
ва̄глыгла̄луӈкве,спускаться,
ва̄глыгла̄луӈкве,сходить вниз,
ва̄гта̄л,слабый,
ва̄гта̄л,бессильный,
ва̄гта̄лпатантаӈкве,обессилевать,
ва̄гта̄лпатантаӈкве,ослабевать,
ва̄гталпа̄туӈкве,устать,
ва̄гталпа̄туӈкве,обессилеть,
ва̄гылттаӈкве,спустить,"с горы, небес"
ва̄гыӈ,мощный,
ва̄гыӈ,сильный,
ва̄й,кисы,меховая обувь
ва̄йпум,стелька,травяная
ва̄йхатнэ ва̄рмаль,знакомство,
ва̄йхатуӈкве,быть знакомыми,
ва̄лм,мозг,
ва̄льсям,стружка,
ва̄нсы,трава,молодая
ва̄нсы,мурава,
ва̄нсыӈ,травяной,
ва̄нтала̄лнэ хо̄тпа,кочевник,
ва̄нтала̄луӈкве,кочевать,долго
ва̄нтата̄луӈкве,водить за руку,длительно
ва̄нтлуптаӈкве,переселить,
ва̄нтлуптаӈкве,перегнать,"скот, оленей"
ва̄нтлуӈкве,кочевать,
ва̄нтлуӈкве,переехать,
ва̄нттуӈкве,вести,"за руку, за узду"
ва̄нэ,знакомый,
ва̄нэ,известный,
ва̄пс,зять,
ва̄рантаӈкве,делать,"медленно, не спеша"
ва̄рапахтуӈкве,превратиться,
ва̄рапаӈкве,сделать,быстро
ва̄рмалиӈ,деловой,
ва̄рмалиӈ,деловитый,
ва̄рмаль,дело,
ва̄рмыгтаӈкве,начать делать,
ва̄рнут,результат труда,
ва̄рсятаӈкве,шлёпнуться,
ва̄рсятаӈкве,хлопнуться,
ва̄ртул,приём,
ва̄ртул,способ,
ва̄руӈкве,делать,
ва̄руӈкве,строить,
ва̄руӈкве,создавать,
ва̄руӈкве,совершать,
ва̄рыгла̄луӈкве,делать,неоднократно
ва̄рыгла̄луӈкве,создавать,
ва̄рылтап,заказ,
ва̄рыхтаӈкве,каркать,
ва̄с,утка,
ва̄с пы̄грись,утёнок,
ва̄синтатта̄л,невиданный,
ва̄синтаӈкве,видеть,иногда
ва̄ситаӈкве,вываривать,
ва̄ситаӈкве,вытапливать жир,
ва̄т,тридцать,
ва̄та,берег,
ва̄та̄л,незнакомый,
ва̄та̄л-хасьта̄л,невзначай,
ва̄талахтуӈкве,свататься,
ва̄тахум,купец,
ва̄ти,короткий,
ва̄тима̄лыглаӈкве,приближаться,
ва̄тимаӈкве,приблизиться,
ва̄тимта̄лыглаӈкве,приближать,
ва̄тимтаӈкве,приблизить,
ва̄тихал,часто,
ва̄туӈкве,собирать,ягоды
ва̄туӈкве,есть,о медведе)
ва̄тыгла̄луӈкве,собирать,ягоды)
ва̄тыт,тридцатый,
ва̄ӈкариӈ,развилистый,
ва̄ӈкариӈ,кривой,
ва̄ӈкариӈ,косой,
ва̄ӈкве,знать,
ва̄ӈкве,видеть,
ва̄ӈклатаӈкве,споткнуться,
ва̄ӈклуӈкве,спотыкаться,
ва̄ӈкрип,багор,
ва̄ӈксуӈкве,ползать,
ва̄ӈксуӈкве,ползти,
ва̄ӈкуӈкве,ползти,
ва̄ӈкыртахтуӈкве,бодаться,
